,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
0,A,"17.08.2019 11:05",U6,1,D,1,SVX,320,160,152,115
1,D,"17.08.2019 19:15",U6,2,D,1,SIP,320,160,95,123
2,D,"17.08.2019 11:55",U6,439,D,1,SVX,320,160,159,117
3,A,"17.08.2019 18:20",U6,440,D,1,SIP,320,160,160,124
4,D,"17.08.2019 12:05",AH,3001,I,5,ALG,738,160,94,34
5,D,"17.08.2019 6:00",SU,2,D,1,LED,SU9,87,75,88
6,A,"17.08.2019 9:35",SU,3,D,1,LED,SU9,87,79,89
7,D,"17.08.2019 16:50",SU,1022,D,1,VOZ,SU9,87,64,89
8,A,"17.08.2019 20:30",SU,1023,D,1,VOZ,SU9,87,82,205
9,D,"17.08.2019 9:30",SU,1100,D,1,KRR,SU9,87,80,89
10,A,"17.08.2019 15:25",SU,1101,D,1,KRR,SU9,87,83,190
11,D,"17.08.2019 0:35",SU,1132,D,1,AER,SU9,87,82,217
12,A,"17.08.2019 14:35",SU,1133,D,1,AER,SU9,87,70,213
13,D,"17.08.2019 13:20",SU,1156,D,1,ROV,SU9,87,77,88
14,D,"17.08.2019 1:55",SU,1164,D,1,ROV,SU9,87,81,205
15,A,"17.08.2019 7:45",SU,1165,D,1,ROV,SU9,87,69,88
16,D,"17.08.2019 17:35",SU,1186,D,1,VOG,SU9,87,79,206
17,A,"17.08.2019 22:10",SU,1187,D,1,VOG,SU9,87,85,217
18,D,"17.08.2019 1:50",SU,1206,D,1,KUF,SU9,87,76,89
19,A,"17.08.2019 6:10",SU,1207,D,1,KUF,SU9,87,79,206
20,D,"17.08.2019 1:25",SU,1218,D,1,PEE,SU9,87,85,190
21,A,"17.08.2019 6:40",SU,1219,D,1,PEE,SU9,87,80,88
22,D,"17.08.2019 9:45",SU,1220,D,1,GOJ,SU9,87,84,205
23,A,"17.08.2019 13:15",SU,1221,D,1,GOJ,SU9,87,79,88
24,D,"17.08.2019 16:30",SU,1226,D,1,GOJ,SU9,87,77,206
25,A,"17.08.2019 19:55",SU,1227,D,1,GOJ,SU9,87,53,206
26,D,"17.08.2019 6:00",SU,1228,D,1,GOJ,SU9,87,72,210
27,A,"17.08.2019 9:25",SU,1229,D,1,GOJ,SU9,87,70,217
28,D,"17.08.2019 9:30",SU,1230,D,1,UFA,SU9,87,84,217
29,A,"17.08.2019 14:55",SU,1231,D,1,UFA,SU9,87,84,191
30,D,"17.08.2019 18:05",SU,1260,D,1,UFA,SU9,87,48,217
31,A,"17.08.2019 23:35",SU,1261,D,1,UFA,SU9,87,38,217
32,D,"17.08.2019 10:45",SU,1286,D,1,ULV,SU9,87,85,205
33,A,"17.08.2019 15:00",SU,1287,D,1,ULV,SU9,87,72,202
34,D,"17.08.2019 1:50",SU,1288,D,1,ULV,SU9,87,82,217
35,A,"17.08.2019 6:55",SU,1289,D,1,ULV,SU9,87,59,210
36,D,"17.08.2019 16:55",SU,1292,D,1,IJK,SU9,87,82,205
37,A,"17.08.2019 21:50",SU,1293,D,1,IJK,SU9,87,73,206
38,D,"17.08.2019 23:25",SU,1294,D,1,IJK,SU9,87,72,190
39,A,"17.08.2019 4:20",SU,1295,D,1,IJK,SU9,87,65,217
40,D,"17.08.2019 17:50",SU,1316,D,1,MMK,SU9,87,70,205
41,A,"17.08.2019 0:05",SU,1317,D,1,MMK,SU9,87,83,191
42,D,"17.08.2019 7:15",SU,1320,D,1,MMK,SU9,87,78,202
43,A,"17.08.2019 12:55",SU,1321,D,1,MMK,SU9,87,84,217
44,D,"17.08.2019 16:20",SU,1330,D,1,ARH,SU9,87,74,88
45,A,"17.08.2019 21:10",SU,1331,D,1,ARH,SU9,87,76,217
46,D,"17.08.2019 8:10",SU,1332,D,1,ARH,SU9,87,83,206
47,A,"17.08.2019 13:00",SU,1333,D,1,ARH,SU9,87,83,203
48,D,"17.08.2019 0:05",SU,1334,D,1,ARH,SU9,87,76,89
49,A,"17.08.2019 4:50",SU,1335,D,1,ARH,SU9,87,82,191
50,D,"17.08.2019 8:55",SU,1350,D,1,VOZ,SU9,87,73,213
51,A,"17.08.2019 12:20",SU,1351,D,1,VOZ,SU9,87,84,206
52,D,"17.08.2019 23:50",SU,1352,D,1,VOZ,SU9,87,48,206
53,A,"17.08.2019 7:30",SU,1353,D,1,VOZ,SU9,87,75,89
54,D,"17.08.2019 6:35",SU,1356,D,1,RTW,SU9,87,75,89
55,A,"17.08.2019 11:10",SU,1357,D,1,RTW,SU9,87,82,205
56,D,"17.08.2019 19:15",SU,1358,D,1,RTW,SU9,87,65,205
57,A,"17.08.2019 23:35",SU,1359,D,1,RTW,SU9,87,72,89
58,D,"17.08.2019 9:45",SU,1360,D,1,RTW,SU9,87,78,88
59,A,"17.08.2019 14:05",SU,1361,D,1,RTW,SU9,87,53,202
60,D,"17.08.2019 16:40",SU,1362,D,1,RTW,SU9,87,41,203
