,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
0,A,"17.08.2019 11:05",U6,1,D,1,SVX,320,160,152,122
1,D,"17.08.2019 19:15",U6,2,D,1,SIP,320,160,95,116
2,D,"17.08.2019 11:55",U6,439,D,1,SVX,320,160,159,116
3,A,"17.08.2019 18:20",U6,440,D,1,SIP,320,160,160,115
4,D,"17.08.2019 12:05",AH,3001,I,5,ALG,738,160,94,34
5,D,"17.08.2019 6:00",SU,2,D,1,LED,SU9,87,75,88
6,A,"17.08.2019 9:35",SU,3,D,1,LED,SU9,87,79,206
7,D,"17.08.2019 16:50",SU,1022,D,1,VOZ,SU9,87,64,191
8,A,"17.08.2019 20:30",SU,1023,D,1,VOZ,SU9,87,82,89
9,D,"17.08.2019 9:30",SU,1100,D,1,KRR,SU9,87,80,213
10,A,"17.08.2019 15:25",SU,1101,D,1,KRR,SU9,87,83,89
11,D,"17.08.2019 0:35",SU,1132,D,1,AER,SU9,87,82,124
12,A,"17.08.2019 14:35",SU,1133,D,1,AER,SU9,87,70,206
13,D,"17.08.2019 13:20",SU,1156,D,1,ROV,SU9,87,77,206
14,D,"17.08.2019 1:55",SU,1164,D,1,ROV,SU9,87,81,206
15,A,"17.08.2019 7:45",SU,1165,D,1,ROV,SU9,87,69,217
16,D,"17.08.2019 17:35",SU,1186,D,1,VOG,SU9,87,79,89
17,A,"17.08.2019 22:10",SU,1187,D,1,VOG,SU9,87,85,121
18,D,"17.08.2019 1:50",SU,1206,D,1,KUF,SU9,87,76,217
19,A,"17.08.2019 6:10",SU,1207,D,1,KUF,SU9,87,79,205
20,D,"17.08.2019 1:25",SU,1218,D,1,PEE,SU9,87,85,89
21,A,"17.08.2019 6:40",SU,1219,D,1,PEE,SU9,87,80,206
22,D,"17.08.2019 9:45",SU,1220,D,1,GOJ,SU9,87,84,191
23,A,"17.08.2019 13:15",SU,1221,D,1,GOJ,SU9,87,79,206
24,D,"17.08.2019 16:30",SU,1226,D,1,GOJ,SU9,87,77,206
25,A,"17.08.2019 19:55",SU,1227,D,1,GOJ,SU9,87,53,88
26,D,"17.08.2019 6:00",SU,1228,D,1,GOJ,SU9,87,72,190
27,A,"17.08.2019 9:25",SU,1229,D,1,GOJ,SU9,87,70,89
28,D,"17.08.2019 9:30",SU,1230,D,1,UFA,SU9,87,84,215
29,A,"17.08.2019 14:55",SU,1231,D,1,UFA,SU9,87,84,205
30,D,"17.08.2019 18:05",SU,1260,D,1,UFA,SU9,87,48,217
31,A,"17.08.2019 23:35",SU,1261,D,1,UFA,SU9,87,38,217
32,D,"17.08.2019 10:45",SU,1286,D,1,ULV,SU9,87,85,205
33,A,"17.08.2019 15:00",SU,1287,D,1,ULV,SU9,87,72,217
34,D,"17.08.2019 1:50",SU,1288,D,1,ULV,SU9,87,82,191
35,A,"17.08.2019 6:55",SU,1289,D,1,ULV,SU9,87,59,88
36,D,"17.08.2019 16:55",SU,1292,D,1,IJK,SU9,87,82,217
37,A,"17.08.2019 21:50",SU,1293,D,1,IJK,SU9,87,73,217
38,D,"17.08.2019 23:25",SU,1294,D,1,IJK,SU9,87,72,203
39,A,"17.08.2019 4:20",SU,1295,D,1,IJK,SU9,87,65,217
40,D,"17.08.2019 17:50",SU,1316,D,1,MMK,SU9,87,70,205
41,A,"17.08.2019 0:05",SU,1317,D,1,MMK,SU9,87,83,114
42,D,"17.08.2019 7:15",SU,1320,D,1,MMK,SU9,87,78,190
43,A,"17.08.2019 12:55",SU,1321,D,1,MMK,SU9,87,84,89
44,D,"17.08.2019 16:20",SU,1330,D,1,ARH,SU9,87,74,88
45,A,"17.08.2019 21:10",SU,1331,D,1,ARH,SU9,87,76,191
46,D,"17.08.2019 8:10",SU,1332,D,1,ARH,SU9,87,83,190
47,A,"17.08.2019 13:00",SU,1333,D,1,ARH,SU9,87,83,190
48,D,"17.08.2019 0:05",SU,1334,D,1,ARH,SU9,87,76,205
49,A,"17.08.2019 4:50",SU,1335,D,1,ARH,SU9,87,82,121
50,D,"17.08.2019 8:55",SU,1350,D,1,VOZ,SU9,87,73,88
51,A,"17.08.2019 12:20",SU,1351,D,1,VOZ,SU9,87,84,114
52,D,"17.08.2019 23:50",SU,1352,D,1,VOZ,SU9,87,48,210
53,A,"17.08.2019 7:30",SU,1353,D,1,VOZ,SU9,87,75,205
54,D,"17.08.2019 6:35",SU,1356,D,1,RTW,SU9,87,75,89
55,A,"17.08.2019 11:10",SU,1357,D,1,RTW,SU9,87,82,217
56,D,"17.08.2019 19:15",SU,1358,D,1,RTW,SU9,87,65,89
57,A,"17.08.2019 23:35",SU,1359,D,1,RTW,SU9,87,72,89
58,D,"17.08.2019 9:45",SU,1360,D,1,RTW,SU9,87,78,192
59,A,"17.08.2019 14:05",SU,1361,D,1,RTW,SU9,87,53,217
60,D,"17.08.2019 16:40",SU,1362,D,1,RTW,SU9,87,41,210
61,A,"17.08.2019 21:05",SU,1363,D,1,RTW,SU9,87,48,190
62,D,"17.08.2019 17:35",SU,1364,D,1,STW,SU9,87,86,190
63,A,"17.08.2019 23:15",SU,1365,D,1,STW,SU9,87,70,205
64,D,"17.08.2019 9:00",SU,1366,D,1,STW,SU9,87,87,202
65,A,"17.08.2019 14:25",SU,1367,D,1,STW,SU9,87,84,190
66,D,"17.08.2019 21:10",SU,1368,D,1,STW,SU9,87,54,210
67,A,"17.08.2019 5:15",SU,1369,D,1,STW,SU9,87,78,205
68,D,"17.08.2019 10:25",SU,1370,D,1,EGO,SU9,87,76,88
69,A,"17.08.2019 14:20",SU,1371,D,1,EGO,SU9,87,70,89
70,D,"17.08.2019 23:55",SU,1372,D,1,EGO,SU9,87,37,213
71,A,"17.08.2019 4:10",SU,1373,D,1,EGO,SU9,87,75,205
72,D,"17.08.2019 19:40",SU,1374,D,1,EGO,SU9,87,66,206
73,A,"17.08.2019 23:35",SU,1375,D,1,EGO,SU9,87,77,206
74,D,"17.08.2019 11:45",SU,1376,D,1,RTW,SU9,87,83,89
75,A,"17.08.2019 15:55",SU,1377,D,1,RTW,SU9,87,77,205
76,D,"17.08.2019 15:25",SU,1378,D,1,RTW,SU9,87,41,88
77,A,"17.08.2019 19:40",SU,1379,D,1,RTW,SU9,87,49,206
78,D,"17.08.2019 13:55",SU,1388,D,1,ULV,SU9,87,44,202
79,A,"17.08.2019 18:05",SU,1389,D,1,ULV,SU9,87,43,205
80,D,"17.08.2019 8:40",SU,1390,D,1,SCW,SU9,87,87,191
81,A,"17.08.2019 13:50",SU,1391,D,1,SCW,SU9,87,70,205
82,D,"17.08.2019 12:50",SU,1392,D,1,PEE,SU9,87,83,89
83,A,"17.08.2019 22:10",SU,1393,D,1,PEE,SU9,87,76,88
84,D,"17.08.2019 22:40",SU,1396,D,1,SCW,SU9,87,79,213
85,A,"17.08.2019 4:35",SU,1397,D,1,SCW,SU9,87,70,89
86,D,"17.08.2019 15:20",SU,1404,D,1,SVX,SU9,87,68,203
87,A,"17.08.2019 21:35",SU,1405,D,1,SVX,SU9,87,79,205
88,D,"17.08.2019 0:40",SU,1428,D,1,MQF,SU9,87,78,217
89,A,"17.08.2019 6:30",SU,1429,D,1,MQF,SU9,87,87,89
90,D,"17.08.2019 14:45",SU,1434,D,1,MQF,SU9,87,77,191
91,A,"17.08.2019 20:55",SU,1435,D,1,MQF,SU9,87,70,206
92,D,"17.08.2019 21:30",SU,1466,D,1,SKX,SU9,87,40,213
93,A,"17.08.2019 7:45",SU,1467,D,1,SKX,SU9,87,69,89
94,D,"17.08.2019 1:30",SU,1508,D,1,TJM,SU9,87,87,190
95,A,"17.08.2019 8:20",SU,1509,D,1,TJM,SU9,87,86,190
96,D,"17.08.2019 7:25",SU,1642,D,1,ASF,SU9,87,84,191
97,A,"17.08.2019 13:05",SU,1643,D,1,ASF,SU9,87,87,114
98,D,"17.08.2019 14:25",SU,1680,D,1,NBC,SU9,87,76,210
99,A,"17.08.2019 19:25",SU,1681,D,1,NBC,SU9,87,77,89
100,D,"17.08.2019 8:35",SU,1830,I,3,MSQ,SU9,87,75,10
101,A,"17.08.2019 12:15",SU,1831,I,2,MSQ,SU9,87,78,80
102,D,"17.08.2019 18:10",SU,1832,I,3,MSQ,SU9,87,57,1
103,A,"17.08.2019 21:55",SU,1833,I,2,MSQ,SU9,87,82,58
104,D,"17.08.2019 22:00",SU,1834,I,3,MSQ,SU9,87,78,1
105,A,"17.08.2019 7:40",SU,1835,I,2,MSQ,SU9,87,79,80
106,D,"17.08.2019 13:25",SU,1840,I,3,MSQ,SU9,87,68,25
107,A,"17.08.2019 17:35",SU,1841,I,2,MSQ,SU9,87,77,80
108,D,"17.08.2019 16:50",SU,1842,I,3,MSQ,SU9,87,80,2
109,A,"17.08.2019 20:45",SU,1843,I,2,MSQ,SU9,87,79,80
110,D,"17.08.2019 9:20",SU,2034,I,5,OTP,SU9,87,61,38
111,A,"17.08.2019 16:25",SU,2035,I,5,OTP,SU9,87,63,10
112,D,"17.08.2019 20:55",SU,2038,I,5,OTP,SU9,87,58,39
